      eval;                   phi;                    x1;                    x2;                    x3;                    x4;                    x5
         1;    749667465.35624647;            0.50000000;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         2;    749667465.35624647;            0.50000000;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         3;    749667465.35624647;            0.50000000;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         4;    749667464.43707883;            0.50000001;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         5;    749667464.43707883;            0.50000001;            0.50000000;            1.50000000;          200.00000000;         1000.00000000
         6;    749667459.38626504;            0.50000000;            0.50000000;            1.50000002;          200.00000000;         1000.00000000
         7;    749667436.33277440;            0.50000000;            0.50000000;            1.50000000;          200.00000298;         1000.00000000
         8;    749667436.33277440;            0.50000000;            0.50000000;            1.50000000;          200.00000298;         1000.00000000
         9;    749667436.33277440;            0.50000000;            0.50000000;            1.50000000;          200.00000298;         1000.00000000
        10;    555901776.81422329;            0.67975990;            0.47845262;            1.68350955;          205.06914134;         1036.67993141
        11;    555901776.67306948;            0.67975991;            0.47845262;            1.68350955;          205.06914134;         1036.67993141
        12;    555901776.67306948;            0.67975991;            0.47845262;            1.68350955;          205.06914134;         1036.67993141
        13;    555901771.90873599;            0.67975990;            0.47845262;            1.68350957;          205.06914134;         1036.67993141
        14;    555901750.24852467;            0.67975990;            0.47845262;            1.68350955;          205.06914440;         1036.67993141
        15;    555901750.24852467;            0.67975990;            0.47845262;            1.68350955;          205.06914440;         1036.67993141
        16;    270454837.23673278;            0.71610465;            0.43500864;            2.05569546;          216.38917758;         1112.85884162
        17;    270454837.23673278;            0.71610465;            0.43500864;            2.05569546;          216.38917758;         1112.85884162
        18;    270454837.23673278;            0.71610465;            0.43500864;            2.05569546;          216.38917758;         1112.85884162
        19;    270454833.95905268;            0.71610465;            0.43500864;            2.05569549;          216.38917758;         1112.85884162
        20;    270454817.55945015;            0.71610465;            0.43500864;            2.05569546;          216.38918080;         1112.85884162
        21;    270454817.55945015;            0.71610465;            0.43500864;            2.05569546;          216.38918080;         1112.85884162
        22;    270454817.55945015;            0.71610465;            0.43500864;            2.05569546;          216.38918080;         1112.85884162
        23;    220344302.07455331;            0.63103253;            0.42565639;            2.11213343;          218.53248366;         1127.07552442
        24;    220344302.07455331;            0.63103253;            0.42565639;            2.11213343;          218.53248366;         1127.07552442
        25;    220344302.07455331;            0.63103253;            0.42565639;            2.11213343;          218.53248366;         1127.07552442
        26;    220344299.10792401;            0.63103253;            0.42565639;            2.11213347;          218.53248366;         1127.07552442
        27;    220344284.27415413;            0.63103253;            0.42565639;            2.11213343;          218.53248692;         1127.07552442
        28;    220344284.27415413;            0.63103253;            0.42565639;            2.11213343;          218.53248692;         1127.07552442
        29;    118524726.48475768;            0.38837447;            0.40896152;            2.21773081;          222.38420474;         1150.73671574
        30;    118524726.48475768;            0.38837447;            0.40896152;            2.21773081;          222.38420474;         1150.73671574
        31;    118524726.48475768;            0.38837447;            0.40896152;            2.21773081;          222.38420474;         1150.73671574
        32;    118524724.30748771;            0.38837447;            0.40896152;            2.21773084;          222.38420474;         1150.73671574
        33;    118524713.58990906;            0.38837447;            0.40896152;            2.21773081;          222.38420805;         1150.73671574
        34;    118524713.58990906;            0.38837447;            0.40896152;            2.21773081;          222.38420805;         1150.73671574
        35;     17055868.74118749;            0.09695287;            0.38575436;            2.45804043;          229.05751257;         1158.20483880
        36;     17055868.60542592;            0.09695287;            0.38575436;            2.45804043;          229.05751257;         1158.20483880
        37;     17055865.71088149;            0.09695287;            0.38575436;            2.45804043;          229.05751257;         1158.20483880
        38;     17055865.71088149;            0.09695287;            0.38575436;            2.45804043;          229.05751257;         1158.20483880
        39;     17055865.71088149;            0.09695287;            0.38575436;            2.45804043;          229.05751257;         1158.20483880
        40;     17055865.71088149;            0.09695287;            0.38575436;            2.45804043;          229.05751257;         1158.20483880
        41;      1629161.92508027;            0.12787663;            0.37369752;            2.46334028;          244.28345999;          922.20926901
        42;      1629161.92508027;            0.12787663;            0.37369752;            2.46334028;          244.28345999;          922.20926901
        43;      1629161.92508027;            0.12787663;            0.37369752;            2.46334028;          244.28345999;          922.20926901
        44;      1629161.89816782;            0.12787663;            0.37369752;            2.46334032;          244.28345999;          922.20926901
        45;      1629161.54052380;            0.12787663;            0.37369752;            2.46334028;          244.28346363;          922.20926901
        46;      1629161.54052380;            0.12787663;            0.37369752;            2.46334028;          244.28346363;          922.20926901
        47;      1103889.52937466;            0.23837070;            0.33204204;            1.85992123;          252.79683836;          808.46472318
        48;      1103889.52937466;            0.23837070;            0.33204204;            1.85992123;          252.79683836;          808.46472318
        49;      1103889.52937466;            0.23837070;            0.33204204;            1.85992123;          252.79683836;          808.46472318
        50;      1103889.25784318;            0.23837070;            0.33204204;            1.85992125;          252.79683836;          808.46472318
        51;      1103888.39130887;            0.23837070;            0.33204204;            1.85992123;          252.79684213;          808.46472318
        52;      1103888.39130887;            0.23837070;            0.33204204;            1.85992123;          252.79684213;          808.46472318
        53;        32065.52180331;            0.28290402;            0.31465311;            1.93139582;          251.80348525;          803.84669102
        54;        32065.52180331;            0.28290402;            0.31465311;            1.93139582;          251.80348525;          803.84669102
        55;        32065.52180331;            0.28290402;            0.31465311;            1.93139582;          251.80348525;          803.84669102
        56;        32065.50673529;            0.28290402;            0.31465311;            1.93139584;          251.80348525;          803.84669102
        57;        32065.45905590;            0.28290402;            0.31465311;            1.93139582;          251.80348900;          803.84669102
        58;        32065.45905590;            0.28290402;            0.31465311;            1.93139582;          251.80348900;          803.84669102
        59;        28228.42103758;            0.28696306;            0.31305191;            1.93307558;          251.70010022;          803.37792659
        60;        28228.42103758;            0.28696306;            0.31305191;            1.93307558;          251.70010022;          803.37792659
        61;        28228.42103758;            0.28696306;            0.31305191;            1.93307558;          251.70010022;          803.37792659
        62;        28228.42094467;            0.28696306;            0.31305191;            1.93307561;          251.70010022;          803.37792659
        63;        28228.42064029;            0.28696306;            0.31305191;            1.93307558;          251.70010397;          803.37792659
        64;        28228.42064029;            0.28696306;            0.31305191;            1.93307558;          251.70010397;          803.37792659
        65;        28228.21562429;            0.28693722;            0.31304237;            1.93283704;          251.69626415;          803.37713227
        66;        28228.21562419;            0.28693723;            0.31304237;            1.93283704;          251.69626415;          803.37713227
        67;        28228.21562419;            0.28693723;            0.31304237;            1.93283704;          251.69626415;          803.37713227
        68;        28228.21562419;            0.28693723;            0.31304237;            1.93283704;          251.69626415;          803.37713227
        69;        28228.21562419;            0.28693723;            0.31304237;            1.93283704;          251.69626415;          803.37713227
        70;        28228.21562419;            0.28693723;            0.31304237;            1.93283704;          251.69626415;          803.37713227
        71;        28228.21561347;            0.28693619;            0.31304220;            1.93282861;          251.69618238;          803.37691561
        72;        28228.21561347;            0.28693619;            0.31304220;            1.93282861;          251.69618238;          803.37691561
        73;        28228.21561347;            0.28693619;            0.31304220;            1.93282861;          251.69618238;          803.37691561
        74;        28228.21561347;            0.28693619;            0.31304220;            1.93282861;          251.69618238;          803.37691561
        75;        28228.21561347;            0.28693619;            0.31304220;            1.93282861;          251.69618238;          803.37691561
        76;        28228.21561347;            0.28693619;            0.31304220;            1.93282861;          251.69618238;          803.37691561
        77;        28228.21561347;            0.28693619;            0.31304220;            1.93282861;          251.69618238;          803.37691561
        78;        28228.21561347;            0.28693619;            0.31304220;            1.93282861;          251.69618238;          803.37691561
        79;        28228.21561347;            0.28693619;            0.31304220;            1.93282861;          251.69618238;          803.37691561
        80;        28228.21561347;            0.28693619;            0.31304220;            1.93282861;          251.69618238;          803.37691561
        81;        28228.21561347;            0.28693619;            0.31304220;            1.93282861;          251.69618238;          803.37691561
        82;        28228.21561347;            0.28693619;            0.31304220;            1.93282861;          251.69618238;          803.37691561
